Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil
61.87124673962699,34.64789817419107,44.54729765253136,111.36824413132862,27.223348565435856
37.78492029703332,32.917594176347585,31.9005030520299,93.29342793753209,27.145566811170802
37.64731900168276,31.0721332685062,28.425308397616213,83.01987949477626,26.981861051616022
37.646404118921154,29.512581967490753,27.469560057726657,78.54972966581806,26.78967063409183
37.64638043854684,28.196444399942745,27.205272491453005,76.2073719837954,26.587752667307647
37.6463764822091,27.085760062772934,27.132218498010012,74.68818667964769,26.382362688615416
37.64637700494348,26.148525842292795,27.113165171616284,73.55032129513611,26.175966673244766
37.64637682391088,25.35771068095666,27.107504352774466,72.62944180417914,25.969851674379814
37.64637683305441,24.689819481139875,27.10576690712284,71.8635399191108,25.76484357145778
37.646376862330904,24.126813797024305,27.105641957472606,71.22326269581636,25.56149335234883
37.64637684800464,23.653522255060953,27.105490323234836,70.68500502149134,25.360245334661794
37.64637684362002,23.251259117671054,27.10540712238535,70.22771690710285,25.16164063492461
37.646376843197444,22.910847773257235,27.10537596964854,69.84090071999633,24.965892992057395
37.646376844874176,22.62438321034573,27.105377639981228,69.51549919555191,24.773172483701007
37.6463768467875,22.383960417462795,27.105392908340235,69.24245506914963,24.58364918749628
37.64637684707468,22.181674383134656,27.105402549682385,69.01271107616962,24.397493181084066
37.646376846010135,22.011687227599435,27.105397068834595,68.81959602843536,24.21481020850715
37.64637684572035,21.867009285456895,27.105393142364434,68.65523608711108,24.035728230344127
37.6463768455906,21.743513909956366,27.105390969504718,68.5149450090421,23.860286902751437
37.64637684557748,21.63894338777753,27.105390139115592,68.39615657783165,23.688469816835177
37.64637684563752,21.551040005600065,27.105390240057226,68.29630457708306,23.520260563701456
37.64637684572732,21.477546050103644,27.10539086118975,68.2128227903996,23.355642734456367
37.646376845803424,21.41620380796794,27.105391591373333,68.14314500138457,23.19459992020601
37.646376845822424,21.364755565872642,27.105392019468123,68.08470499364124,23.0371157120565
37.646376845756066,21.32117199465949,27.105391789302942,68.03519618268913,22.883171266553322
37.646376845741756,21.28477550911078,27.10539155835731,67.99385134793823,22.732715349737536
37.646376845732426,21.253226077060276,27.10539139827959,67.95801271071481,22.585700202387983
37.646376845727254,21.226109886778634,27.105391298325888,67.92721016767761,22.442063954638655
37.64637684572542,21.203013126536508,27.10539124775233,67.90097361548534,22.30174473662351
37.64637684572608,21.183521984604557,27.10539123581502,67.87883295079676,22.16468067847654
37.64637684572841,21.167222649253443,27.105391251770076,67.86031807027061,22.030809910331712
37.64637684573159,21.153701308753813,27.10539128487363,67.8449588705656,21.900070562323013
37.64637684573478,21.14254415137634,27.105391324381777,67.83228524834051,21.772400764584415
37.646376845737144,21.133337365391668,27.10539135955064,67.82182710025403,21.64773864724989
37.646376845737876,21.125667139070462,27.10539137963634,67.81311432296492,21.526022340453427
