Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil,SystemA Age
0.33307072328437853,10.595148940214184,1.3285320961865175,3.145169566952169,76.83889698339091,35.51345130641129
0.333028940752314,10.594825024861278,1.3284113209372586,3.1449768004218894,76.8381838496502,35.51224485740264
0.332779480042336,10.594441746500882,1.3283092267371874,3.144729033977166,76.8374586064113,35.51098693351775
0.3330713170912344,10.593996094438841,1.3282402713379506,3.144427599536553,76.83671485427493,35.50967033428475
0.3328967509636649,10.59348492788738,1.3281658240670875,3.144214211797278,76.83594614689046,35.508287792057466
0.33308034607085824,10.59290510712867,1.3280947913251895,3.1440159048882257,76.83514598944471,35.50683200357535
0.33295867115849004,10.592253472386146,1.3280125687600859,3.143809351080165,76.83430783717986,35.505295623553124
0.3327344820815447,10.591526487085432,1.3279383796536233,3.1435945041503324,76.83342509404554,35.503671175765724
0.33291890476200225,10.590720895907777,1.32785247230506,3.1433728795559044,76.8324911107715,35.50195121382889
0.33283677361095665,10.589836333618448,1.3277703661899098,3.1431444087841274,76.83149918192068,35.50012896219281
0.33268897032770145,10.588861534127512,1.3276764248149264,3.1429085434865427,76.83044255090277,35.49819492014295
0.33282081621172444,10.587934930632189,1.327591591842969,3.1426633091983573,76.8293143959818,35.49614327791586
0.3326726956088514,10.587152739912101,1.327491651344745,3.142411498132229,76.82810783814723,35.493966593259536
0.3328000653238828,10.58632852564821,1.3273961920715325,3.1421491138860853,76.82681594292552,35.49165459699195
0.3327541424066182,10.585475274347269,1.327295550517135,3.141879045956029,76.82543169976861,35.48920281863422
0.33264747982458454,10.584581854737811,1.327192164984752,3.141600516652876,76.82394804525065,35.48660077705666
0.3327786937338845,10.58365134709201,1.3270858574383952,3.141312469209223,76.82235784182008,35.48384142736597
0.3325906755839305,10.582688854707458,1.3269729669433372,3.14101636558725,76.8206538803983,35.480917610840365
0.3328396491655402,10.581680582094823,1.326865335728295,3.140710170834389,76.81882888892717,35.47781955868888
0.3326437398204581,10.580638649505254,1.3267415601492265,3.140394403067138,76.81687551014437,35.47454112188837
0.33239824362188375,10.579556592292036,1.326626900071788,3.1400674404889415,76.81478632303354,35.471072754744654
0.3326137173338552,10.57843160032939,1.3264993440281814,3.139730831614301,76.81255382406566,35.46740322264039
0.3324842754696493,10.577272019431648,1.326372117152998,3.1393845227234087,76.81017039851628,35.4635424382604
0.3324271799830596,10.57606458669856,1.3262356785081222,3.139028304976876,76.80762843812239,35.45944402191109
0.33241059012411905,10.574817327776298,1.3261010047750053,3.1386595025036894,76.80492014938707,35.455125088215866
0.3322844323738156,10.573530373610991,1.3259601299085575,3.1382804267429614,76.80203764892914,35.450590572851844
0.33240983746350017,10.572192812029881,1.3258148929900941,3.137888828634732,76.79897305287506,35.44584649123065
0.3323485040822286,10.570817224433306,1.3256664308132127,3.1374859748349966,76.79571841660362,35.44076768461256
0.3321710833459524,10.569392393993345,1.325507122334946,3.1370713433530217,76.7922655310869,35.43544213034055
0.3323187331128484,10.56792096561337,1.325358676301853,3.1366437898949155,76.7886060504724,35.42989895482297
0.3321425999571027,10.566407803260894,1.3251852286070782,3.136205084363193,76.78473180339073,35.424141421071006
0.3323533544932108,10.564838983811324,1.3250220508095039,3.135751303673993,76.78063455145058,35.41827268934195
0.33217728396668567,10.56322597340459,1.324842554634406,3.135285849675376,76.77630535779332,35.41177783513451
0.3319074336651114,10.561562663867862,1.3246672910162534,3.1348053163934653,76.77173594445091,35.404829217186204
0.33215003141976746,10.559844980456665,1.3244823897603983,3.134310990382322,76.76691751303541,35.39756929008004
0.3319674331025971,10.558081523773406,1.3242916186079878,3.1338029441434703,76.76184091078031,35.39009627869876
0.332017480556021,10.556259040694108,1.3240965099244628,3.1332810621717635,76.75649683731974,35.38289024799312
0.33181113207825996,10.554384348688139,1.3238938162752423,3.1327422896828825,76.75087609859814,35.375764722868055
0.3317173875575525,10.552458166869345,1.3236880732181857,3.1321885086338117,76.7449699151407,35.36804840366531
0.3318471095225984,10.550468513918991,1.3234726957842249,3.131618072297041,76.73877204685608,35.360038715410894
0.3317526557106006,10.548427488196426,1.3232546362014574,3.131032423341847,76.73226800107297,35.35192137874001
0.331554203523628,10.546324607306733,1.3230242642232104,3.130429927224979,76.72544902067126,35.343228529823364
0.33168416205475293,10.544160823693087,1.3227993095436283,3.129809638533328,76.71830635548402,35.33423920376144
0.33148769317410026,10.541941270068525,1.3225486546613792,3.1291733871699687,76.71083047637964,35.32508799956243
0.33157364619795276,10.539652015517307,1.322303754457424,3.1285167624519072,76.7030111851776,35.31538338616039
0.3314907301343326,10.537302518217192,1.3220463259575321,3.1278430256327154,76.69483775685431,35.30557407491339
0.3311914194719987,10.534889159350527,1.321785933908506,3.1271497486630175,76.68629911937732,35.29514711972584
0.331440847737924,10.532403675780094,1.3215165476758877,3.1264365448118707,76.67738407720718,35.28439265812335
0.3312114176621226,10.529856314199028,1.3212370999378455,3.1257040951735204,76.6680815853564,35.27348682157597
0.33134928357919924,10.527234429427402,1.320953799616438,3.1249520792447707,76.65838108179945,35.261975854877726
0.33117272360324074,10.524541865800062,1.3206555091184833,3.1241772068642035,76.64827288706243,35.250130342122254
0.33088997871085934,10.521780938759035,1.32035600025615,3.1233803844388426,76.63774947113718,35.2380805367502
0.33103020228082325,10.51893806934463,1.3200411538363046,3.1225626825161132,76.62679460654296,35.22544385938625
0.33088035364025414,10.516024423367357,1.3197224519006965,3.1217212994623065,76.61539602290611,35.21265774882665
