Year,meanBTT,medianBTT
1851,15.57522123893805,2.2891983942520584
1852,15.574493948579956,2.288975170415158
1853,15.573757203447078,2.2886846661045332
1854,15.573008850818,2.288459805236862
1855,15.572246738455668,2.288273602194069
1856,15.571468714632285,2.2880935979239143
1857,15.570672628156897,2.2878773814522213
1858,15.569856328405685,2.287675684793534
1859,15.56901766535499,2.2874545446372987
1860,15.568154489616976,2.2872600515187544
1861,15.567264652478038,2.2870306957256306
1862,15.566346005939856,2.286805260662619
1863,15.565396402763161,2.2865724094916855
1864,15.564413696514158,2.2863074117107156
1865,15.563395741613634,2.2860636167267656
1866,15.562340393388713,2.285792331438286
1867,15.561245508127293,2.2855476628616063
1868,15.560108943135104,2.2852657004020336
1869,15.558928556795426,2.284985808096692
1870,15.557702208631452,2.2846787713686534
1871,15.556427759371257,2.28437860014869
1872,15.555103071015381,2.284067117528278
1873,15.553726006907043,2.283758827858704
1874,15.552294431804913,2.2834356459142056
1875,15.550806211958518,2.283090950736752
1876,15.549259215186165,2.2827511506938247
1877,15.547651310955471,2.2823731449750793
1878,15.545980370466411,2.2820194794656152
1879,15.544244266736904,2.2816268266779485
1880,15.542440874690907,2.2812546765970603
1881,15.540568071249053,2.2808525565769333
1882,15.538623735421716,2.2804342344561563
1883,15.536605748404561,2.2800005692860807
1884,15.534511993676583,2.279560711084678
1885,15.532340357100514,2.27910942096899
1886,15.530088727025689,2.2786494775588273
1887,15.52775499439327,2.2781928713680553
1888,15.525337052843854,2.277693709612128
1889,15.522832798827425,2.277196765920124
1890,15.520240131715616,2.276662108009619
1891,15.517556953916275,2.276149604145462
1892,15.514781170990297,2.2755898364351284
1893,15.511910691770712,2.2750503600419627
1894,15.508943428483954,2.2744690369362606
1895,15.505877296873372,2.2738678601005207
1896,15.502710216324838,2.2732526205610597
1897,15.499440109994522,2.272620511070616
1898,15.496064904938748,2.2719842100877874
1899,15.492582532245912,2.271321278223649
1900,15.488990927170404,2.270661712252944
1901,15.485288029268563,2.2699502226736072
1902,15.481471782536545,2.2692386306076284
1903,15.477540135550145,2.2684866922308475
1904,15.473491041606447,2.2677537890639945
1905,15.469322458867367,2.2669660938260314
1906,15.46503235050495,2.2661878245877314
1907,15.460618684848445,2.265367950079237
1908,15.456079435533068,2.264515011162564
1909,15.451412581650462,2.2636524013724935
1910,15.446616107900738,2.2627581425077463
1911,15.441688004746117,2.261865282605224
1912,15.436626268566082,2.260925015991085
1913,15.43142890181403,2.2599856590298764
1914,15.42609391317529,2.2589869095415365
1915,15.42061931772658,2.257984517374373
1916,15.415003137096742,2.25693163802054
1917,15.409243399628753,2.25589518857983
1918,15.403338140542946,2.254797444943925
1919,15.397285402101378,2.253692373897399
1920,15.391083233773312,2.2525472350263755
1921,15.384729692401704,2.2513544353043624
1922,15.3782228423707,2.250152315564674
1923,15.371560755774013,2.2489024713946213
1924,15.364741512584198,2.247643418771445
1925,15.357763200822673,2.2463405722638083
1926,15.350623916730473,2.24502015678106
1927,15.343321764939711,2.2436339399850125
1928,15.335854858645577,2.2422327440703396
1929,15.328221319778851,2.240781753694304
1930,15.320419279178973,2.2393270826236265
1931,15.312446876767375,2.2378053315917033
1932,15.30430226172121,2.2362434587397404
1933,15.296011459363417,2.2348926974557375
1934,15.28745544239947,2.233662207437428
1935,15.278569091766057,2.232204303256897
1936,15.2693549643551,2.2301715672594544
1937,15.259815632221809,2.2281403847560264
1938,15.249953679334897,2.226096993360457
1939,15.239771698395694,2.2239809136533335
1940,15.229272287727953,2.2218572396879597
1941,15.218458048240057,2.219662253762815
1942,15.207331580461078,2.217457024939673
1943,15.19589548165203,2.215183441484562
1944,15.184152342993421,2.212886888318118
1945,15.172104746850104,2.2105273569644015
1946,15.159755264114253,2.208146925572314
1947,15.147106451627094,2.205706911267854
1948,15.134160849679997,2.2032353808692693
1949,15.12092097959514,2.2007116807321956
1950,15.107389341386133,2.198140023349113
1951,15.093568411498632,2.1955332329186725
1952,15.079460640630849,2.192860791888852
1953,15.065068451633886,2.190161430589353
1954,15.0503942374916,2.1873912865038805
1955,15.035440359379532,2.1845989132736774
1956,15.020209144802516,2.181728278148355
1957,15.004702885810206,2.1788366989891523
1958,14.988923837290026,2.1758622525384483
1959,14.97287421533655,2.172869368005397
1960,14.956556195696566,2.169787791177998
1961,14.939971912288787,2.1666795166060973
1962,14.92312345579722,2.163500643843933
1963,14.90601287233709,2.1602758638435273
1964,14.888642162192083,2.157002591646379
1965,14.871013278621763,2.1536458304398165
1966,14.853128126737808,2.176207171285217
1967,14.834988562447743,2.172652325078952
1968,14.816596391464833,2.169083184187641
1969,14.797953368382643,2.165397428762932
1970,14.779061195812803,2.161682472144144
1971,14.75992152358454,2.157869198562492
1972,14.740535948004412,2.1540137482988664
1973,14.720906011174696,2.150068308023458
1974,14.701033200368832,2.14608344531492
1975,14.68091894746238,2.142014513677169
1976,14.660564628417859,2.13786544646785
1977,14.639971562821852,2.133661820388842
1978,14.619141013472753,2.1293424303834807
1979,14.598074186017532,2.124992159803445
1980,14.576772228635871,2.1205306979839236
1981,14.55523623177007,2.1160357093387163
1982,14.533467227899092,2.1114131106876113
1983,14.511466191355034,2.106752748735963
1984,14.489234038180582,2.101972423933287
1985,14.466771626025679,2.09713895196953
1986,14.444079754081917,2.092194789084214
1987,14.42115916305301,2.0872020005956853
1988,14.398010535159841,2.082111396682064
1989,14.374634494178435,2.0769332201607145
1990,14.35103160550951,2.0716686419260766
1991,14.32720237627783,2.066304293508743
1992,14.303147255460155,2.060869466689123
1993,14.278866634040075,2.0553270211491177
1994,14.254360845188462,2.0497206029607935
1995,14.229630164467954,2.0439970537759606
