Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil,Time
37.0,452.0,69.0,81.0,1121.0,1851
37.00226292514527,452.00928811330795,69.00361409401988,81.00308705337861,1121.0075546415417,1852
37.004550129160606,452.0188776284983,69.00728660094455,81.00624243937251,1121.014697914825,1853
37.00686661721239,452.0288158848554,69.01102633483444,81.00947564164687,1121.0214831973683,1854
37.00921739446701,452.03915022166376,69.0148421097499,81.0127961438669,1121.0279638666887,1855
37.011607466090815,452.0499279782077,69.01874273975135,81.01621342969774,1121.034193300304,1856
37.0140418372502,452.06119649377155,69.02273703889915,81.01973698280462,1121.0402248757318,1857
37.01652551311153,452.07300310763975,69.02683382125373,81.02337628685271,1121.0461119704896,1858
37.01906349884118,452.08539515909666,69.03104190087545,81.0271408255072,1121.0519079620954,1859
37.02166079960553,452.09841998742667,69.03537009182472,81.03104008243326,1121.0576662280666,1860
37.02432242057094,452.1121249319142,69.03982720816191,81.0350835412961,1121.0634401459208,1861
37.0270533669038,452.12655733184357,69.04442206394742,81.03928068576089,1121.069283093176,1862
37.029858643770474,452.14176452649923,69.04916347324166,81.04364099949282,1121.0752484473494,1863
37.03274325633735,452.1577938551655,69.054060250105,81.04817396615707,1121.0813895859587,1864
37.03571220977078,452.1746926571268,69.05912120859783,81.05288906941884,1121.087759886522,1865
37.03877050923715,452.1925082716675,69.06435516278054,81.0577957929433,1121.0944127265564,1866
37.041923159902844,452.21128803807204,69.06977092671353,81.06290362039563,1121.1014014835798,1867
37.04517516693422,452.2310792956247,69.07537731445719,81.06822203544105,1121.1087795351098,1868
37.04853153549766,452.25192938360993,69.0811831400719,81.07376052174472,1121.116600258664,1869
37.05199727075954,452.2738856413121,69.08719721761807,81.07952856297182,1121.1249170317603,1870
37.05557737788623,452.2969954080156,69.09342836115607,81.08553564278755,1121.133783231916,1871
37.0592768620441,452.3213060230048,69.0998853847463,81.09179124485709,1121.1432522366488,1872
37.06310072839954,452.34686482556407,69.10657710244915,81.09830485284563,1121.1533774234765,1873
37.06705398211891,452.37371915497783,69.11351232832502,81.10508595041834,1121.1642121699167,1874
37.071141628368586,452.4019163505305,69.12069987643427,81.11214402124043,1121.1758098534872,1875
37.075368672314944,452.43150375150634,69.12814856083733,81.11948854897707,1121.1882238517053,1876
37.07974011912436,452.4625286971898,69.13586719559457,81.12712901729346,1121.2015075420886,1877
37.084260973963204,452.4950385268653,69.14386459476638,81.13507490985477,1121.2157143021552,1878
37.08893624199786,452.52908057981716,69.15214957241317,81.14333571032618,1121.2308975094224,1879
37.09377092839468,452.5647021953298,69.1607309425953,81.15192090237291,1121.247110541408,1880
37.09877003832007,452.60195071268765,69.16961751937318,81.1608399696601,1121.2644067756296,1881
37.10393857694038,452.640873471175,69.1788181168072,81.17010239585296,1121.2828395896047,1882
37.10928154942199,452.6815178100763,69.18834154895774,81.17971766461669,1121.3024623608512,1883
37.11480396093128,452.7239310686758,69.1981966298852,81.18969525961646,1121.3233284668866,1884
37.12051081663462,452.7681605862581,69.20839217364997,81.20004466451745,1121.3454912852285,1885
37.126407121698385,452.81425370210746,69.21893699431243,81.21077536298485,1121.3690041933946,1886
37.13249788128895,452.86225775550827,69.22983990593299,81.22189683868385,1121.3939205689028,1887
37.13878810057269,452.91222008574493,69.24110972257203,81.23341857527963,1121.42029378927,1888
37.14528278471597,452.9641880321018,69.25275525828995,81.24535005643737,1121.4481772320148,1889
37.15198693888517,453.01820893386326,69.26478532714712,81.25770076582228,1121.4776242746543,1890
37.158905568246674,453.07433013031374,69.27720874320394,81.27048018709952,1121.5086882947062,1891
37.16604367796684,453.1325989607376,69.29003432052082,81.2836978039343,1121.541422669688,1892
37.17340627321206,453.1930627644192,69.30327087315813,81.29736309999178,1121.5758807771176,1893
37.18099835914869,453.25576888064296,69.31692721517625,81.31148555893716,1121.6121159945126,1894
37.188824940943114,453.3207646486932,69.3310121606356,81.32607466443564,1121.6501816993907,1895
37.1968910237617,453.38809740785445,69.34553452359656,81.34113990015237,1121.6901312692694,1896
37.205201612770836,453.4578144974109,69.36050311811951,81.35669074975256,1121.7320180816662,1897
37.21376171313688,453.5299632566471,69.37592675826484,81.37273669690138,1121.7758955140991,1898
37.222576330026214,453.60459102484725,69.39181425809296,81.38928722526406,1121.8218169440856,1899
