Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil
77.0,0.0,36.0,0.0,0.0
9.609232362626454,25.93109647842487,21.365549919217003,16.62345365056716,2.9524289302210005
1.1991863194668517,27.448329708125904,12.680186759737602,13.572179905145251,5.0520618555645
0.14965272714077643,26.03276300118683,7.525532311115789,9.632466143843795,6.400167648721581
0.018675945828525373,24.357578401830807,4.4663093406062435,6.728773205393095,7.253910507714024
0.0023306688708847286,22.749324761460013,2.6506987547607763,4.755936500729872,7.796894405328568
0.0002908563472814504,21.242169722312006,1.5731565712679934,3.442702262610644,8.145595034209327
3.629748344379541e-05,19.83422957472761,0.9336487570602938,2.57256089010312,8.372194082770775
4.5297526310391465e-06,18.519529070904508,0.5541088646107382,1.9937443849024092,8.5211792532413
5.6529150099836e-07,17.291962846009916,0.3288566835422617,1.6041896336510026,8.619950186618544
7.054568033391032e-08,16.14576456399868,0.19517233023584254,1.336756152361546,8.685414051238071
8.80376408452088e-09,15.075541915899034,0.11583233790288308,1.147929685254768,8.728052373744962
1.0986677240767231e-09,14.076258999496686,0.06874504438121302,1.0098119074536938,8.754417553971438
1.371084863632605e-10,13.14321358994009,0.04079932437293324,0.9046552489208545,8.768660530437707
1.711048447211171e-11,12.272015133619623,0.024213888932228648,0.8212273665392154,8.77346322257264
2.1353067679173083e-12,11.458564102965672,0.014370640353330745,0.7524367413757356,8.770606533641526
2.6647608958968926e-13,10.69903270751506,0.008528795384450037,0.6938034942672162,8.761315860863887
3.3254943687680706e-14,9.989846882022885,0.005061733431590407,0.6424853167649001,8.746471107931706
4.150058196116609e-15,9.32766946830278,0.0030040755086226463,0.5966624385330875,8.726734353031027
5.179074483754167e-16,8.709384511836479,0.001782881256682616,0.5551520444797676,8.702627561179062
6.463237680226314e-17,8.13208259927962,0.001058117735824688,0.5171679258721747,8.67458003063903
8.065812036906062e-18,7.593047167871838,0.0006279796473658693,0.4821713434872976,8.642957518648965
1.0065748318948019e-18,7.089741722327487,0.00037269806955688025,0.4497788066302018,8.608080280448862
1.2561573311751797e-19,6.619797899056021,0.00022119164471981595,0.41970517749678043,8.570234395885011
1.5676243739323717e-20,6.181004321545364,0.00013127447574930412,0.39172860317414376,8.52967902541555
1.956320372264058e-21,5.771296194466949,7.790976013168874e-05,0.36566888588627844,8.486651189597708
2.441394419847324e-22,5.388745587536048,4.623846859132846e-05,0.3413741026597358,8.441369033441118
3.0467436713161104e-23,5.031552363406485,2.744195302433804e-05,0.31871227846513167,8.394034155449358
3.802190634680208e-24,4.698035706910651,1.628645603395292e-05,0.29756615130035025,8.34483335131357
4.744952376057584e-25,4.3866262157837115,9.665808038904232e-06,0.2778298288771943,8.293939983871248
5.92147401703047e-26,4.095858515654927,5.736536226799389e-06,0.2594066041651663,8.241515107722643
7.389716851805111e-27,3.824364364554333,3.4045625310299707e-06,0.24220748333219386,8.18770842684684
9.22201380818339e-28,3.5708662144874608,2.0205652974948955e-06,0.2261501544035336,8.132659133454524
1.1508632926517634e-28,3.334171199781593,1.1991802424629183e-06,0.21115823140569456,8.076496658185901
1.436222441130928e-29,3.1131655239144007,7.116984814577778e-07,0.19716067345636115,8.019341350826139
1.7923370339279858e-30,2.9068092184120604,4.22384150917145e-07,0.1840913175146115,7.96130510408982
2.236751043007096e-31,2.7141312491541307,2.5067971281962257e-07,0.17188848729290088,7.902491928994503
2.791358507740507e-32,2.534224947056951,1.4877527549951513e-07,0.16049465523648115,7.842998487864777
3.4834821439316216e-33,2.366243741634583,8.829626598417177e-08,0.14985614319762672,7.7829145894671505
4.347219396376541e-34,2.2093971773607413,5.240272996014711e-08,0.13992285271721158,7.722323649795256
5.425122248194443e-35,2.0629471940864246,3.110036507963235e-08,0.13064801903573903,7.661303121382378
6.77029354266947e-36,1.9262046540101099,1.8457677850409887e-08,0.12198798491265109,7.599924893588062
8.449003092818014e-37,1.7985260988579577,1.0954401041826707e-08,0.11390199153372642,7.5382556659958215
1.0543952461225805e-37,1.6793107220143886,6.501300063729675e-09,0.10635198453121739,7.476357296831847
1.3158349249403232e-38,1.5679975413552252,3.858440306984032e-09,0.09930243361073866,7.414287128137366
1.6420991616378278e-39,1.4640627594795834,2.2899360830329805e-09,0.09272016458141333,7.352098289280504
