Year,meanBTT,medianBTT
1993,13.586514356333371,2.245291796490571
1994,13.597514944734794,2.2457283102083654
1995,13.608489486802098,2.2461526052692595
1996,13.619437526385692,2.2465526140435155
1997,13.630358601475162,2.2469696564280315
1998,13.641252244347628,2.2473673107286323
1999,13.652117981713882,2.2477896520067384
2000,13.662955334862346,2.2481999286804637
2001,13.673763819800893,2.248583954531894
2002,13.684542947396473,2.2489787036844513
2003,13.695292223512604,2.2493670382525996
2004,13.706011149144699,2.2497563030066896
2005,13.716699220553231,2.250142542258702
2006,13.727355929394802,2.2505327914291313
2007,13.737980762851011,2.2508948211630986
2008,13.74857320375522,2.251274149814171
2009,13.759132730717203,2.2516255749389233
2010,13.769658818245633,2.2520033559008232
2011,13.780150936868496,2.252365650314712
2012,13.79060855325133,2.2527168492593375
