Year,meanBTT,medianBTT
1851,15.575221238938047,2.2891983942520584
1852,13.44491791443363,1.566846832499271
1853,12.728036304958714,1.5545148752309257
1854,12.36236989140341,1.6441262107178822
1855,12.15281819140244,1.7255605419706743
1856,12.027671291814316,1.785403904283789
1857,11.95061817570303,1.8303166275595033
1858,11.901907532407387,1.8647326236004118
1859,11.871632159367577,1.89258850882486
1860,11.852618845825154,1.9159063397796494
1861,11.841055352314811,1.935458367667197
1862,11.835329030951126,1.952813623380783
1863,11.834134094826712,1.9686662350008508
1864,11.836498413735457,1.983126110841232
1865,11.841607996897153,1.996357956476348
1866,11.849053150623106,2.008616133422349
1867,11.858570497016915,2.020172976715749
1868,11.869892418348527,2.0310416786660372
1869,11.882747813344139,2.0413370177464034
1870,11.897196764150744,2.0509847824658167
1871,11.912633078330197,2.060091577461852
1872,11.928924926008115,2.0686765028533203
1873,11.94592570298615,2.076792863540636
1874,11.963544899443056,2.084383951513291
1875,11.981691731556838,2.0915933275076766
1876,12.000275253585249,2.098462172654866
1877,12.01920445732881,2.1049620008113683
1878,12.0383883593237,2.1111612670127267
1879,12.057736076053311,2.1170128697767483
1880,12.077205376027177,2.1226071217896245
1881,12.096758436677852,2.127852243476452
1882,12.11623774151961,2.13286343623139
1883,12.135621896919197,2.137578681392545
1884,12.15489005052121,2.142065571156981
1885,12.17402796325061,2.1463126229807385
1886,12.193053727264532,2.1504178561229614
1887,12.211903606970637,2.154293299972233
1888,12.230570369096943,2.157887667603592
1889,12.249046850581042,2.1613440119092444
1890,12.267325950205146,2.164634967487532
1891,12.285400620287936,2.1678320424203847
1892,12.303263858424542,2.1708668733004646
1893,12.320908699266706,2.1738241189865057
1894,12.338328206335696,2.176621850454602
1895,12.355515463861446,2.1793167713379833
1896,12.3724635686418,2.1818949215099535
1897,12.389153498240715,2.159658473581453
1898,12.405628237294144,2.161976660716232
1899,12.421897197454957,2.1641935574079074
1900,12.437964465834602,2.166331527499605
1901,12.453834118068121,2.1683527689087065
1902,12.469510208549734,2.1703148093141533
1903,12.484996761139827,2.1721760153969636
1904,12.500297760339825,2.17400847361523
1905,12.515417142932009,2.175735047045747
1906,12.53035879008242,2.1774277128671624
1907,12.545126740488017,2.179040323647218
1908,12.559743218381703,2.180615917661457
1909,12.574196586550073,2.182159585432037
1910,12.58849370249386,2.18360544304292
1911,12.602641335149158,2.1850358253600533
1912,12.616646165102422,2.1864087812415245
1913,12.630514784834448,2.1877735339637954
1914,12.644253698994133,2.189072282492971
1915,12.657869324702515,2.1903645099587705
1916,12.671367991887902,2.191605794493612
1917,12.684755943652618,2.1928586774130783
1918,12.698039336672144,2.19405314161714
1919,12.711224241627228,2.195234517369794
1920,12.724316643669697,2.196385767823572
1921,12.737322442922553,2.1974860776344745
1922,12.750247455015092,2.1985890090506555
1923,12.763097411653646,2.199646194347747
1924,12.775841792649517,2.200720952396249
1925,12.7885290643326,2.2017331478517916
1926,12.801167375323544,2.202745523755457
1927,12.813758251939094,2.2037103527711617
1928,12.826303167605614,2.204672522470078
1929,12.838803543304698,2.2056042823530495
1930,12.85126074802345,2.20654350183567
1931,12.863676099210016,2.2074490659086146
1932,12.876050863234708,2.2083214760033005
1933,12.88838625585714,2.209192311184898
1934,12.900683442699876,2.2100535263627874
1935,12.912943539728857,2.210890685718085
1936,12.92516761374117,2.2117208875169143
1937,12.937356682860445,2.2125150146062142
1938,12.949511717040282,2.2133248034857167
1939,12.961627301803702,2.2140997712513113
1940,12.973710057420755,2.2149034450594267
1941,12.985765353213635,2.215657002739249
1942,12.99779423227685,2.216422278079675
1943,13.009797700281114,2.217152627810874
1944,13.021776726165625,2.2178851977146343
1945,13.033732242822001,2.218599844514569
1946,13.045665147770004,2.219319081001639
1947,13.057576303825094,2.22002890261455
1948,13.069466539757837,2.2207301735044283
1949,13.081336650945314,2.2214258470599217
1950,13.093187400014505,2.222098324358346
1951,13.105019517477775,2.2227880844511656
1952,13.116833702360461,2.223439494611931
1953,13.128630622820673,2.2241146913700782
1954,13.140410916761335,2.2247510495175704
1955,13.152175192434498,2.2254123034469036
1956,13.16392402903804,2.226037715111029
1957,13.175657977304754,2.2266772274333406
1958,13.187377560083878,2.227288906226107
1959,13.199083272915143,2.2279004467802856
1960,13.210775584595387,2.2285182642619206
1961,13.22245493773773,2.229123803679237
1962,13.234121749323418,2.2297253276023667
1963,13.245776411246368,2.230301992822628
1964,13.257419290850445,2.2308963769054584
1965,13.269066109758233,2.2314575309255478
1966,13.280696287491963,2.2320419975101853
1967,13.292305501357921,2.2325823907772904
1968,13.303893736571093,2.233161158061176
1969,13.315460966618454,2.2337116520932425
1970,13.327007153505827,2.234249078420896
1971,13.338532248001481,2.234779654354481
1972,13.350036189876622,2.2353029928423123
1973,13.361518908142674,2.235844497140594
1974,13.372980321285393,2.236358623505519
1975,13.384420337495936,2.236889470952301
1976,13.395838854898745,2.2373802115647883
1977,13.407235761776366,2.2378874516282012
1978,13.418610936791197,2.2383740985700746
1979,13.429964249204154,2.238891474629769
1980,13.441295559090303,2.2393731207805865
1981,13.452604717551466,2.239861537251361
1982,13.463891566925769,2.240344712761326
1983,13.475155940994265,2.2407978576871734
1984,13.486397665184455,2.241271249741943
1985,13.497616556770934,2.241723530770504
1986,13.50881242507302,2.2421996434178264
1987,13.519985071649428,2.2426513088898816
1988,13.531134290490016,2.243111958527193
1989,13.542259868204612,2.2435399340425835
1990,13.553360783532296,2.243985032711076
1991,13.564436834917315,2.2444101091457327
1992,13.575488171736119,2.2448685435007323
