Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil,Time
37.0,452.0,69.0,81.0,1121.0,1851
53.38420841595982,460.85130644132505,83.18906426767086,87.15752257405133,1121.7734894713533,1852
55.42442096073731,474.6354276723861,91.60985472164509,94.96480138821724,1123.8354371085336,1853
55.6806038546474,488.192293582796,96.60804781750046,100.79794399406246,1126.757740174271,1854
55.71250147281876,500.9368455957922,99.57481473140622,104.89161475917435,1130.2274379267012,1855
55.71580142837172,512.8476483155027,101.33410544567626,107.76304324375343,1134.0446383095903,1856
55.71651861074381,523.9696962771445,102.3754263327545,109.81050312836099,1138.0842329042437,1857
55.71666693273124,534.3554316177313,103.00486624411452,111.32563358772504,1142.263671691743,1858
55.71661205105722,544.052169661589,103.36659697759536,112.46543741797973,1146.5406240610193,1859
55.71663051685993,553.1052689243326,103.58107165035143,113.36403325073904,1150.878974118681,1860
55.71663948759006,561.5603090476285,103.71569962861162,114.10985798099,1155.2556639619897,1861
55.71663936271986,569.454716935747,103.79468481214775,114.73842215942022,1159.6601564100906,1862
55.71663664681327,576.8246635244059,103.83765783102989,115.27915725758368,1164.0833128928073,1863
55.7166369337061,583.703635480062,103.8628350437299,115.7592721621668,1168.5166976756652,1864
55.71663758413481,590.1275800555329,103.87910169885149,116.19500667770919,1172.9540948536885,1865
55.71663788245221,596.130271088034,103.88999402545605,116.59477045631348,1177.391048494465,1866
55.7166379317984,601.7357608789616,103.89662011876044,116.9619628128301,1181.8249389743598,1867
55.71663783531348,606.9681017297124,103.90008807398152,117.29998306210939,1186.2531466697378,1868
55.71663769613752,611.8513459416827,103.90150598633618,117.61223051900176,1190.6730519569644,1869
55.716637617410626,616.4095458162689,103.90198195104125,117.90210449835757,1195.0820352124042,1870
55.71663767130041,620.6589713773766,103.9025295052709,118.17234933788095,1199.4783592342314,1871
55.716637701613585,624.6146299315543,103.90300622857697,118.4237749901905,1203.8607697002376,1872
55.716637723560986,628.3233054729255,103.90338032436505,118.659365074656,1208.2245059641975,1873
55.71663773822593,631.7963158160371,103.90366299832148,118.87985737170384,1212.5686927985796,1874
55.716637746691724,635.0449787754359,103.90386545613264,119.08598966176041,1216.8924549758515,1875
55.71663775004169,638.0806121656685,103.90399890348488,119.2784997252521,1221.1949172684815,1876
55.71663774935916,640.9145338012819,103.90407454606454,119.45812534260533,1225.4752044489373,1877
55.716637745727425,643.5580614968227,103.904103589558,119.62560429424646,1229.7324412896876,1878
55.71663774022982,646.0225130668377,103.9040972396516,119.7816743606019,1233.9657525631997,1879
55.71663773394965,648.3192063258739,103.90406670203171,119.92707332209804,1238.174263041942,1880
55.716637727970244,650.4594590884777,103.90402318238469,120.06253895916126,1242.3570974983822,1881
55.7166377233749,652.4545891691963,103.90397788639687,120.18880905221798,1246.5133807049888,1882
55.716637721246954,654.3159143825761,103.90394201975462,120.30662138169457,1250.6422374342296,1883
55.71663772266972,656.0547525431642,103.9039267881443,120.41671372801743,1254.7427924585727,1884
55.71663772794728,657.6780597310357,103.90394144319792,120.51954424521081,1258.8146044637745,1885
55.716637729226676,659.1710533715456,103.90395644510298,120.6141241336112,1262.8594408528352,1886
55.716637730280695,660.5777440070317,103.90396918538457,120.70323427636446,1266.8732515627341,1887
55.716637731127186,661.9013604600501,103.90397982484113,120.78707944792767,1270.8560237800577,1888
55.71663773178398,663.1451315531567,103.90398852427106,120.86586442275794,1274.807744691393,1889
55.716637732268936,664.3122861089074,103.90399544447277,120.93979397531236,1278.7284014833265,1890
55.7166377325999,665.4060529498581,103.90400074624466,121.00907288004801,1282.6179813424449,1891
55.71663773279471,666.429660898565,103.90400459038514,121.073905911422,1286.4764714553348,1892
55.71663773287122,667.3863387775838,103.90400713769263,121.13449784389141,1290.3038590085832,1893
55.716637732847275,668.2793154094704,103.90400854896552,121.19105345191333,1294.1001311887762,1894
55.71663773274072,669.1118196167811,103.90400898500224,121.24377750994488,1297.8652751825011,1895
55.71663773256941,669.8870802220714,103.90400860660118,121.29287479244311,1301.5992781763441,1896
55.71663773235118,670.6083260478977,103.90400757456075,121.33855007386516,1305.3021273568922,1897
55.71663773210388,671.2787859168157,103.90400604967937,121.38100812866809,1308.9738099107317,1898
55.71663773184536,671.9016886513813,103.90400419275542,121.420453731309,1312.6143130244498,1899
55.71663773159346,672.4802630741506,103.90400216458735,121.45709165624498,1316.2236238846326,1900
55.716637731366035,673.0177380076793,103.90400012597354,121.49112667793314,1319.8017296778673,1901
55.716637731180924,673.5173422745238,103.9039982377124,121.52276357083056,1323.3486175907403,1902
55.716637731055975,673.9823046972397,103.90399666060233,121.55220710939433,1326.8642748098382,1903
55.716637731009044,674.415854098383,103.90399555544177,121.57966206808156,1330.3486885217478,1904
55.716637731057965,674.8212193005097,103.9039950830291,121.60533322134933,1333.801845913056,1905
55.716637731220594,675.2016291261757,103.90399540416274,121.62942534365472,1337.223734170349,1906
55.716637731510936,675.5600908907303,103.90399666683521,121.65212915954362,1340.6143493400964,1907
55.71663773155458,675.8819908833725,103.90399736260314,121.67251657519427,1343.974534299537,1908
55.7166377315928,676.1870128075604,103.90399798080479,121.69183495145121,1347.3038363070755,1909
55.716637731625895,676.4756776768712,103.90399852537143,121.7101172914997,1350.6024695351412,1910
55.71663773165416,676.7485065048817,103.9039990002343,121.72739659852505,1353.8706481561644,1911
55.71663773167789,677.0060203051688,103.90399940932463,121.7437058757125,1357.1085863425749,1912
55.71663773169738,677.2487400913096,103.90399975657368,121.75907812624733,1360.3164982668027,1913
