Year,meanBTT,medianBTT
1851,15.575221238938047,2.2891983942520584
1852,15.574813305117695,2.2897559887385786
1853,15.57440152591366,2.2903104785280717
1854,15.573977412859922,2.290708934157994
1855,15.573532465796731,2.290959562748181
1856,15.573058173753058,2.291203662048809
1857,15.572546016011497,2.291385866453492
1858,15.571987463356296,2.291556388945552
1859,15.571373979504868,2.291680863532717
1860,15.570697022723303,2.29180488872012
1861,15.569948047626088,2.2918665369877167
1862,15.569118507160258,2.291904777116536
1863,15.56819985477395,2.291907280602374
1864,15.56718354676915,2.2918492352395403
1865,15.566061044838444,2.2917836937009994
1866,15.564823818785007,2.2916613555119607
1867,15.563463349425236,2.2915357968707073
1868,15.561971131672896,2.2913438426417962
1869,15.560338677803594,2.291122776166477
1870,15.558557520897924,2.2908450421702833
1871,15.556619218461565,2.290542834829786
1872,15.55451535622004,2.290198730683629
1873,15.552237552085828,2.2898268118427674
1874,15.549777460294823,2.2894082126327264
1875,15.547126775709096,2.288935861441926
1876,15.54427723828239,2.2884363109070867
1877,15.541220637684356,2.2878674431901134
1878,15.537948818079293,2.287290650713452
1879,15.534453683054597,2.2866420841715773
1880,15.530727200693768,2.2859818395951734
1881,15.526761408788458,2.285258315812804
1882,15.522548420183464,2.284485318256886
1883,15.518080428248267,2.2836649893802408
1884,15.51334971246822,2.2828051631737214
1885,15.508348644147972,2.2819021238574098
1886,15.503069692219405,2.2809568892643
1887,15.497505429145775,2.2799822842575033
1888,15.491648536913365,2.278931537289259
1889,15.485491813101513,2.2778498195007058
1890,15.47902817702139,2.2767006472227966
1891,15.472250675913509,2.275540819098113
1892,15.465152491193582,2.2743012606231763
1893,15.457726944735697,2.2730491497561087
1894,15.449967505181732,2.2717252176019147
1895,15.441867794265232,2.2703475455877613
1896,15.433031107536225,2.2686637682561757
1897,15.42724891229431,2.268024301888576
1898,15.42856447684767,2.2708042897212493
1899,15.434282186770238,2.2763735202557323
1900,15.441714460792548,2.2806877526549183
1901,15.448167073194103,2.283073253956019
1902,15.450936691752936,2.283111371717457
1903,15.447320692262752,2.280298898665876
1904,15.434639245850533,2.274254261865491
1905,15.406017701269965,2.2629091068067066
1906,15.409492413124934,2.2643344369538023
1907,15.45115849850287,2.2839218066210796
1908,15.44527815328886,2.289370494443736
1909,15.41716797475025,2.2745073870593098
1910,15.404955441712596,2.263251468462065
1911,15.405246900405658,2.2661090898946497
1912,15.407881571538368,2.2712357992064685
1913,15.441678233976576,2.2857174482448994
1914,15.466232791174777,2.2976860899836464
1915,15.479563394582092,2.30195867918946
1916,15.4788819898971,2.295128855387275
1917,15.42402242283052,2.270482950210793
1918,15.400123141361824,2.2543856133056623
1919,15.431369448162231,2.272653371356412
1920,15.43555903188408,2.28537138143226
1921,15.386344873784118,2.2679225759037234
1922,15.375091053553534,2.2571969821543085
1923,15.395910981359968,2.2714082589093314
1924,15.392229497052925,2.278054708449252
1925,15.387283845363708,2.277486952724062
1926,15.364292700767336,2.2672560025866013
1927,15.34767239290112,2.2622670665977567
1928,15.362094174690162,2.2684968247567276
1929,15.332996262413433,2.2658110565969314
1930,15.302515846750248,2.2542394723844517
1931,15.298999645141699,2.2520421206336345
1932,15.286400049915414,2.2578672782968296
1933,15.267892483521786,2.2540606184605996
1934,15.26227756019623,2.254762135160133
1935,15.224871871491425,2.245640431035747
1936,15.194305581444816,2.2368169752758784
1937,15.228762801846095,2.25202845300041
1938,15.271312736917812,2.2817681047286587
1939,15.276960949979303,2.289374657530855
1940,15.231742232583896,2.2658498911471976
1941,15.216607314791018,2.251609853623101
1942,15.214559571033666,2.2519723981696176
1943,15.173426366581053,2.2458165917832003
1944,15.189531378953031,2.251070982923201
1945,15.221724292089089,2.26845627500762
1946,15.225939650345826,2.2764538276768427
1947,15.229367173294039,2.271529778083934
1948,15.218389478421624,2.2656697002299833
1949,15.16753190904837,2.247630624362425
1950,15.133523519042429,2.2356797696068234
1951,15.147223435216704,2.245553929074695
1952,15.162685466330839,2.2618630593873577
1953,15.124072956418255,2.251834114094145
1954,15.04895679330779,2.224255885572161
1955,15.045998397574301,2.224742584813498
1956,15.09246182203353,2.253214074571426
1957,15.097488080567107,2.2657248403575942
1958,15.063797799702932,2.2497305197597517
1959,15.060409671648584,2.2437207196402524
1960,15.062719551440855,2.2488833757571034
1961,15.049168543320135,2.249183533068777
1962,15.041991788921042,2.2470847070264073
1963,15.020254954901228,2.2418528420050574
1964,15.03654063251814,2.2499741066819254
1965,15.06566741632679,2.2634230909641784
1966,15.041833889312631,2.25822197981056
1967,15.002546353983268,2.240593725551749
1968,14.970401970672512,2.2284355944144916
1969,14.943136044401484,2.225974296808681
1970,14.933856995423024,2.230463587845561
1971,14.932740003188105,2.2392626281744232
1972,14.931474472605464,2.245358699060785
1973,14.921087112819126,2.2422887462583336
1974,14.880519286659972,2.2279939277687753
1975,14.82912863305107,2.2113113338749604
1976,14.813266778604115,2.2111534646717295
1977,14.80448422192708,2.219584675629279
1978,14.772596669573506,2.217447050625378
1979,14.717787114097733,2.2014519807926445
1980,14.68025212962926,2.194580879727733
1981,14.66696363212476,2.2003435691832203
1982,14.652515051233053,2.2062446697938407
1983,14.641927211113078,2.20952758644029
1984,14.612926921234621,2.205204729409223
1985,14.580978508229162,2.1990412207542547
1986,14.574222059042226,2.201855338672467
1987,14.533664288622216,2.196177649617719
1988,14.47640992015172,2.182011372531999
1989,14.446510302241395,2.1774122325644316
1990,14.43455887153998,2.1857510303214553
1991,14.39397258543888,2.182850309379647
1992,14.366213359486744,2.179109248054581
1993,14.356344427746077,2.1835305065788218
1994,14.321676385621918,2.182351101798314
1995,14.297747171753706,2.1788767097535295
1996,14.303426519834524,2.1873831766519567
1997,14.308038067843242,2.1983691699035757
1998,14.266420932985847,2.18846932493755
1999,14.207827198309435,2.1678712023747826
2000,14.161664675736326,2.158663556118155
2001,14.138924070846237,2.1627593658379953
2002,14.130037858592537,2.1725921254964993
2003,14.106098904461318,2.1736617471331083
2004,14.035839763174069,2.1801225900928354
2005,13.963980423021704,2.160192908385557
2006,13.944315573179795,2.165883171464852
2007,13.903969006548946,2.169517091602358
2008,13.887772294736354,2.1744986525356578
2009,13.871814281885555,2.1792337849842958
2010,13.836708285074662,2.1762052072165665
2011,13.830820043247261,2.1798245856741225
2012,13.813685443495778,2.157617132477931
2013,13.781290956918905,2.1775326392124996
2014,13.751136770374444,2.1722933813588483
